gene,furthest_stage,pu_role
CDYL2,,unlabeled
CEACAM1,,unlabeled
CEACAM16,,unlabeled
CEACAM18,,unlabeled
CEACAM19,,unlabeled
CEACAM20,,unlabeled
CEACAM21,,unlabeled
CEACAM3,,unlabeled
CEACAM4,,unlabeled
CEACAM5,,unlabeled
CEACAM6,,unlabeled
CEACAM7,,unlabeled
CEACAM8,,unlabeled
CEBPA,,unlabeled
CEBPB,,unlabeled
CEBPD,,unlabeled
CEBPE,,unlabeled
CEBPG,,unlabeled
CEBPZ,,unlabeled
CEBPZOS,,unlabeled
CECR2,,unlabeled
CEL,,unlabeled
CELA1,,unlabeled
CELA2A,,unlabeled
CELA2B,,unlabeled
CELA3A,,unlabeled
CELA3B,,unlabeled
CELF1,,unlabeled
CELF2,,unlabeled
CELF3,,unlabeled
CELF4,,unlabeled
CELF5,,unlabeled
CELF6,,unlabeled
CELSR1,,unlabeled
CELSR2,,unlabeled
CELSR3,,unlabeled
CEMIP,,unlabeled
CEMIP2,,unlabeled
CEMP1,,unlabeled
CENATAC,,unlabeled
CEND1,,unlabeled
CENPA,,unlabeled
CENPB,,unlabeled
CENPC,,unlabeled
CENPE,,unlabeled
CENPF,,unlabeled
CENPH,,unlabeled
CENPI,,unlabeled
CPAP,,unlabeled
CENPK,,unlabeled
CENPL,,unlabeled
CENPM,,unlabeled
CENPN,,unlabeled
CENPO,,unlabeled
CENPP,,unlabeled
CENPQ,,unlabeled
CENPS,,unlabeled
CENPS-CORT,,unlabeled
CENPT,,unlabeled
CENPU,,unlabeled
CENPV,,unlabeled
CENPW,,unlabeled
CENPX,,unlabeled
CEP104,,unlabeled
CEP112,,unlabeled
CEP120,,unlabeled
CEP126,,unlabeled
CEP128,,unlabeled
CEP131,,unlabeled
CEP135,,unlabeled
CEP152,,unlabeled
CEP162,,unlabeled
CEP164,,unlabeled
CEP170,,unlabeled
CEP170B,,unlabeled
CEP19,,unlabeled
CEP192,,unlabeled
CEP20,,unlabeled
CEP250,,unlabeled
CEP290,,unlabeled
CEP295,,unlabeled
CEP295NL,,unlabeled
CEP350,,unlabeled
CEP41,,unlabeled
CEP43,,unlabeled
CEP44,,unlabeled
CEP55,,unlabeled
CEP57,,unlabeled
CEP57L1,,unlabeled
CEP63,,unlabeled
CEP68,,unlabeled
CEP70,,unlabeled
CEP72,,unlabeled
CEP76,,unlabeled
CEP78,,unlabeled
CEP83,,unlabeled
CEP85,,unlabeled
CEP85L,,unlabeled
CEP89,,unlabeled
CEP95,,unlabeled
CEP97,,unlabeled
CEPT1,,unlabeled
CER1,,unlabeled
CERCAM,,unlabeled
CERK,,unlabeled
CERKL,,unlabeled
CERS1,,unlabeled
CERS2,,unlabeled
CERS3,,unlabeled
CERS4,,unlabeled
CERS5,,unlabeled
CERS6,,unlabeled
CERT1,,unlabeled
CES1,,unlabeled
CES2,,unlabeled
CES3,,unlabeled
CES4A,,unlabeled
CES5A,,unlabeled
CETN1,,unlabeled
CETN2,,unlabeled
CETN3,,unlabeled
CETP,,unlabeled
CFAP100,,unlabeled
CFAP126,,unlabeled
CFAP157,,unlabeled
CFAP161,,unlabeled
CFAP20,,unlabeled
CFAP206,,unlabeled
CFAP20DC,,unlabeled
CFAP221,,unlabeled
CFAP251,,unlabeled
CFAP298,,unlabeled
CFAP298-TCP10L,,unlabeled
CFAP299,,unlabeled
CFAP300,,unlabeled
CFAP36,,unlabeled
CFAP410,,unlabeled
CFAP418,,unlabeled
CFAP43,,unlabeled
CFAP44,,unlabeled
CFAP45,,unlabeled
CFAP46,,unlabeled
CFAP47,,unlabeled
CFAP52,,unlabeled
CFAP53,,unlabeled
CFAP54,,unlabeled
CFAP57,,unlabeled
CFAP58,,unlabeled
CFAP61,,unlabeled
CFAP65,,unlabeled
CFAP69,,unlabeled
CFAP70,,unlabeled
CFAP73,,unlabeled
CFAP74,,unlabeled
CFAP77,,unlabeled
CFAP91,,unlabeled
CFAP92,,unlabeled
CFAP97,,unlabeled
CFAP97D1,,unlabeled
CFAP99,,unlabeled
CFB,Phase 3,trial_heldout
CFC1,,unlabeled
CFD,,unlabeled
CFDP1,,unlabeled
CFH,,unlabeled
CFHR1,,unlabeled
CFHR2,,unlabeled
CFHR3,,unlabeled
CFHR4,,unlabeled
CFHR5,,unlabeled
CFI,,unlabeled
CFL1,,unlabeled
CFL2,,unlabeled
CFLAR,,unlabeled
CFP,,unlabeled
CFTR,Unknown,unlabeled
CGA,,unlabeled
CGAS,,unlabeled
CGB1,,unlabeled
CGB2,,unlabeled
CGB3,,unlabeled
CGB5,,unlabeled
CGB7,,unlabeled
CGB8,,unlabeled
CGGBP1,,unlabeled
CGN,,unlabeled
CGNL1,,unlabeled
CGREF1,,unlabeled
CGRRF1,,unlabeled
CH25H,,unlabeled
CHAC1,,unlabeled
CHAC2,,unlabeled
CHAD,,unlabeled
CHADL,,unlabeled
CHAF1A,,unlabeled
CHAF1B,,unlabeled
CHAMP1,,unlabeled
CHAT,,unlabeled
CHCHD1,,unlabeled
CHCHD10,,unlabeled
CHCHD2,,unlabeled
CHCHD3,,unlabeled
CHCHD4,,unlabeled
CHCHD5,,unlabeled
CHCHD6,,unlabeled
CHCHD7,,unlabeled
CHD1,,unlabeled
CHD1L,,unlabeled
CHD2,,unlabeled
CHD3,,unlabeled
CHD4,,unlabeled
CHD5,,unlabeled
CHD6,,unlabeled
CHD7,,unlabeled
CHD8,,unlabeled
CHD9,,unlabeled
CHDH,,unlabeled
CHEK1,Phase 2,trial_heldout
CHEK2,Phase 1,trial_heldout
CHERP,,unlabeled
CHFR,,unlabeled
CHGA,,unlabeled
CHGB,,unlabeled
CHI3L1,,unlabeled
CHI3L2,,unlabeled
CHIA,,unlabeled
CHIC1,,unlabeled
CHIC2,,unlabeled
CHID1,,unlabeled
CHIT1,,unlabeled
CHKA,,unlabeled
CHKB,,unlabeled
CHKB-CPT1B,,unlabeled
CHL1,,unlabeled
CHM,,unlabeled
CHML,,unlabeled
CHMP1A,,unlabeled
CHMP1B,,unlabeled
CHMP2A,,unlabeled
CHMP2B,,unlabeled
CHMP3,,unlabeled
CHMP4A,,unlabeled
CHMP4B,,unlabeled
CHMP4C,,unlabeled
CHMP5,,unlabeled
CHMP6,,unlabeled
CHMP7,,unlabeled
CHN1,,unlabeled
CHN2,,unlabeled
CHODL,,unlabeled
CHORDC1,,unlabeled
CHP1,,unlabeled
CHP2,,unlabeled
CHPF,,unlabeled
CHPF2,,unlabeled
CHPT1,,unlabeled
CHRAC1,,unlabeled
CHRD,,unlabeled
CHRDL1,,unlabeled
CHRDL2,,unlabeled
CHRFAM7A,,unlabeled
CHRM1,Approved,P
CHRM2,Approved,P
CHRM3,Approved,P
CHRM4,,unlabeled
CHRM5,,unlabeled
CHRNA1,,unlabeled
CHRNA10,,unlabeled
CHRNA2,,unlabeled
CHRNA3,Phase 2,trial_heldout
CHRNA4,,unlabeled
CHRNA5,,unlabeled
CHRNA6,,unlabeled
CHRNA7,Phase 2,trial_heldout
CHRNA9,,unlabeled
CHRNB1,,unlabeled
CHRNB2,,unlabeled
CHRNB3,,unlabeled
CHRNB4,Phase 2,trial_heldout
CHRND,,unlabeled
CHRNE,,unlabeled
CHRNG,,unlabeled
CHST1,,unlabeled
CHST10,,unlabeled
CHST11,,unlabeled
CHST12,,unlabeled
CHST13,,unlabeled
CHST14,,unlabeled
CHST15,,unlabeled
CHST2,,unlabeled
CHST3,,unlabeled
CHST4,,unlabeled
CHST5,,unlabeled
CHST6,,unlabeled
CHST7,,unlabeled
CHST8,,unlabeled
CHST9,,unlabeled
CHSY1,,unlabeled
CHSY3,,unlabeled
CHTF18,,unlabeled
CHTF8,,unlabeled
CHTOP,,unlabeled
CHUK,,unlabeled
CHURC1,,unlabeled
CHURC1-FNTB,,unlabeled
CIAO1,,unlabeled
CIAO2A,,unlabeled
CIAO2B,,unlabeled
CIAO3,,unlabeled
CIAPIN1,,unlabeled
CIART,,unlabeled
CIB1,,unlabeled
CIB2,,unlabeled
CIB3,,unlabeled
CIB4,,unlabeled
CIBAR1,,unlabeled
CIBAR2,,unlabeled
CIC,,unlabeled
CIDEA,,unlabeled
CIDEB,,unlabeled
CIDEC,,unlabeled
CIITA,,unlabeled
CILK1,,unlabeled
CILP,,unlabeled
CILP2,,unlabeled
CINP,,unlabeled
CIP2A,,unlabeled
CIPC,,unlabeled
CIRSR,,unlabeled
CIRBP,,unlabeled
CISD1,,unlabeled
CISD2,,unlabeled
CISD3,,unlabeled
CISH,,unlabeled
CIT,,unlabeled
CITED1,,unlabeled
CITED2,,unlabeled
CITED4,,unlabeled
CIZ1,,unlabeled
CKAP2,,unlabeled
CKAP2L,,unlabeled
CKAP4,,unlabeled
CKAP5,,unlabeled
CKB,,unlabeled
CKLF,,unlabeled
CKLF-CMTM1,,unlabeled
CKM,,unlabeled
CKMT1A,,unlabeled
CKMT1B,,unlabeled
CKMT2,,unlabeled
CKS1B,,unlabeled
CKS2,,unlabeled
CLASP1,,unlabeled
CLASP2,,unlabeled
CLASRP,,unlabeled
CLBA1,,unlabeled
CLC,,unlabeled
CLCA1,,unlabeled
CLCA2,,unlabeled
CLCA4,,unlabeled
CLCC1,,unlabeled
CLCF1,,unlabeled
CLCN1,,unlabeled
CLCN2,,unlabeled
CLCN3,,unlabeled
CLCN4,,unlabeled
CLCN5,,unlabeled
CLCN6,,unlabeled
CLCN7,,unlabeled
CLCNKA,,unlabeled
CLCNKB,,unlabeled
CLDN1,,unlabeled
CLDN10,,unlabeled
CLDN11,,unlabeled
CLDN12,,unlabeled
CLDN14,,unlabeled
CLDN15,,unlabeled
CLDN16,,unlabeled
CLDN17,,unlabeled
CLDN18,,unlabeled
CLDN19,,unlabeled
CLDN2,,unlabeled
CLDN20,,unlabeled
CLDN22,,unlabeled
CLDN23,,unlabeled
CLDN24,,unlabeled
CLDN25,,unlabeled
CLDN3,,unlabeled
CLDN34,,unlabeled
CLDN4,,unlabeled
CLDN5,,unlabeled
CLDN6,,unlabeled
CLDN7,,unlabeled
CLDN8,,unlabeled
CLDN9,,unlabeled
CLDND1,,unlabeled
CLDND2,,unlabeled
CLEC10A,,unlabeled
CLEC11A,,unlabeled
CLEC12A,,unlabeled
CLEC12B,,unlabeled
CLEC14A,,unlabeled
CLEC16A,,unlabeled
CLEC17A,,unlabeled
CLEC18A,,unlabeled
CLEC18B,,unlabeled
CLEC18C,,unlabeled
CLEC19A,,unlabeled
CLEC1A,,unlabeled
CLEC1B,,unlabeled
CLEC2A,,unlabeled
CLEC2B,,unlabeled
CLEC2D,,unlabeled
CLEC2L,,unlabeled
CLEC3A,,unlabeled
CLEC3B,,unlabeled
CLEC4A,,unlabeled
CLEC4C,Phase 3,trial_heldout
CLEC4D,,unlabeled
CLEC4E,,unlabeled
CLEC4F,,unlabeled
CLEC4G,,unlabeled
CLEC4M,,unlabeled
CLEC5A,,unlabeled
CLEC6A,,unlabeled
CLEC7A,,unlabeled
CLEC9A,,unlabeled
CLGN,,unlabeled
CLHC1,,unlabeled
CLIC1,,unlabeled
CLIC2,,unlabeled
CLIC3,,unlabeled
CLIC4,,unlabeled
CLIC5,,unlabeled
CLIC6,,unlabeled
CLINT1,,unlabeled
CLIP1,,unlabeled
CLIP2,,unlabeled
CLIP3,,unlabeled
CLIP4,,unlabeled
CLK1,,unlabeled
CLK2,,unlabeled
CLK3,,unlabeled
CLK4,,unlabeled
CLMN,,unlabeled
CLMP,,unlabeled
CLN3,,unlabeled
CLN5,,unlabeled
CLN6,,unlabeled
CLN8,,unlabeled
CLNK,,unlabeled
CLNS1A,,unlabeled
CLOCK,,unlabeled
CLP1,,unlabeled
CLPB,,unlabeled
CLPP,,unlabeled
CLPS,,unlabeled
CLPSL1,,unlabeled
CLPSL2,,unlabeled
CLPTM1,,unlabeled
CLPTM1L,,unlabeled
CLPX,,unlabeled
CLRN1,,unlabeled
CLRN2,,unlabeled
CLRN3,,unlabeled
CLSPN,,unlabeled
CLSTN1,,unlabeled
CLSTN2,,unlabeled
CLSTN3,,unlabeled
CLTA,,unlabeled
CLTB,,unlabeled
CLTC,,unlabeled
CLTCL1,,unlabeled
CLTRN,,unlabeled
CLU,,unlabeled
IFT38,,unlabeled
CLUH,,unlabeled
CLUL1,,unlabeled
CLVS1,,unlabeled
CLVS2,,unlabeled
CLYBL,,unlabeled
CMA1,,unlabeled
CMAS,,unlabeled
CMBL,,unlabeled
CMC1,,unlabeled
CMC2,,unlabeled
CMC4,,unlabeled
CMIP,,unlabeled
CMKLR1,,unlabeled
CMKLR2,,unlabeled
CMPK1,,unlabeled
CMPK2,,unlabeled
CMSS1,,unlabeled
CMTM1,,unlabeled
CMTM2,,unlabeled
CMTM3,,unlabeled
CMTM4,,unlabeled
CMTM5,,unlabeled
CMTM6,,unlabeled
CMTM7,,unlabeled
CMTM8,,unlabeled
CMTR1,,unlabeled
CMTR2,,unlabeled
CMYA5,,unlabeled
CNBD1,,unlabeled
CNBD2,,unlabeled
CNBP,,unlabeled
CNDP1,,unlabeled
CNDP2,,unlabeled
CNEP1R1,,unlabeled
CNFN,,unlabeled
CNGA1,,unlabeled
CNGA2,,unlabeled
CNGA3,,unlabeled
CNGA4,,unlabeled
CNGB1,,unlabeled
CNGB3,,unlabeled
CNIH1,,unlabeled
CNIH2,,unlabeled
CNIH3,,unlabeled
CNIH4,,unlabeled
CNKSR1,,unlabeled
CNKSR2,,unlabeled
CNKSR3,,unlabeled
CNMD,,unlabeled
CNN1,,unlabeled
CNN2,,unlabeled
CNN3,,unlabeled
CNNM1,,unlabeled
CNNM2,,unlabeled
CNNM3,,unlabeled
CNNM4,,unlabeled
CNOT1,,unlabeled
CNOT10,,unlabeled
CNOT11,,unlabeled
CNOT2,,unlabeled
CNOT3,,unlabeled
CNOT4,,unlabeled
CNOT6,,unlabeled
CNOT6L,,unlabeled
CNOT7,,unlabeled
CNOT8,,unlabeled
CNOT9,,unlabeled
CNP,,unlabeled
CNPPD1,,unlabeled
CNPY1,,unlabeled
CNPY2,,unlabeled
CNPY3,,unlabeled
CNPY4,,unlabeled
CNR1,Phase 3,trial_heldout
CNR2,Phase 2,trial_heldout
CNRIP1,,unlabeled
CNST,,unlabeled
CNTD1,,unlabeled
CNTF,,unlabeled
CNTFR,,unlabeled
CNTLN,,unlabeled
CNTN1,,unlabeled
CNTN2,,unlabeled
CNTN3,,unlabeled
CNTN4,,unlabeled
CNTN5,,unlabeled
CNTN6,,unlabeled
CNTNAP1,,unlabeled
CNTNAP2,,unlabeled
CNTNAP3,,unlabeled
CNTNAP3B,,unlabeled
CNTNAP3C,,unlabeled
CNTNAP4,,unlabeled
CNTNAP5,,unlabeled
CNTRL,,unlabeled
CNTROB,,unlabeled
COA1,,unlabeled
COA3,,unlabeled
COA4,,unlabeled
COA5,,unlabeled
COA6,,unlabeled
COA7,,unlabeled
COA8,,unlabeled
COASY,,unlabeled
COBL,,unlabeled
COBLL1,,unlabeled
COCH,,unlabeled
COG1,,unlabeled
COG2,,unlabeled
COG3,,unlabeled
COG4,,unlabeled
COG5,,unlabeled
COG6,,unlabeled
COG7,,unlabeled
COG8,,unlabeled
COIL,,unlabeled
COL10A1,,unlabeled
COL11A1,,unlabeled
COL11A2,,unlabeled
COL12A1,,unlabeled
COL13A1,,unlabeled
COL14A1,,unlabeled
COL15A1,,unlabeled
COL16A1,,unlabeled
COL17A1,,unlabeled
COL18A1,,unlabeled
COL19A1,,unlabeled
COL1A1,,unlabeled
COL1A2,,unlabeled
COL20A1,,unlabeled
COL21A1,,unlabeled
COL22A1,,unlabeled
COL23A1,,unlabeled
COL24A1,,unlabeled
COL25A1,,unlabeled
COL26A1,,unlabeled
COL27A1,,unlabeled
COL28A1,,unlabeled
COL2A1,,unlabeled
COL3A1,,unlabeled
COL4A1,,unlabeled
COL4A2,,unlabeled
COL4A3,,unlabeled
COL4A4,,unlabeled
COL4A5,,unlabeled
COL4A6,,unlabeled
COL5A1,,unlabeled
COL5A2,,unlabeled
COL5A3,,unlabeled
COL6A1,,unlabeled
COL6A2,,unlabeled
COL6A3,,unlabeled
COL6A5,,unlabeled
COL6A6,,unlabeled
COL7A1,,unlabeled
COL8A1,,unlabeled
COL8A2,,unlabeled
COL9A1,,unlabeled
COL9A2,,unlabeled
COL9A3,,unlabeled
POU2AF3,,unlabeled
COLEC10,,unlabeled
COLEC11,,unlabeled
COLEC12,,unlabeled
COLGALT1,,unlabeled
COLGALT2,,unlabeled
COLQ,,unlabeled
COMMD1,,unlabeled
COMMD10,,unlabeled
COMMD2,,unlabeled
COMMD3,,unlabeled
COMMD3-BMI1,,unlabeled
COMMD4,,unlabeled
COMMD5,,unlabeled
COMMD6,,unlabeled
COMMD7,,unlabeled
COMMD8,,unlabeled
COMMD9,,unlabeled
COMP,,unlabeled
COMT,,unlabeled
COMTD1,,unlabeled
COP1,,unlabeled
COPA,,unlabeled
COPB1,,unlabeled
COPB2,,unlabeled
COPE,,unlabeled
COPG1,,unlabeled
COPG2,,unlabeled
COPRS,,unlabeled
COPS2,,unlabeled
COPS3,,unlabeled
COPS4,,unlabeled
COPS5,,unlabeled
COPS6,,unlabeled
COPS7A,,unlabeled
COPS7B,,unlabeled
COPS8,,unlabeled
COPS9,,unlabeled
COPZ1,,unlabeled
COPZ2,,unlabeled
COQ10A,,unlabeled
COQ10B,,unlabeled
COQ2,,unlabeled
COQ3,,unlabeled
COQ4,,unlabeled
COQ5,,unlabeled
COQ6,,unlabeled
COQ7,,unlabeled
COQ8A,,unlabeled
COQ8B,,unlabeled
COQ9,,unlabeled
CORIN,,unlabeled
CORO1A,,unlabeled
CORO1B,,unlabeled
CORO1C,,unlabeled
CORO2A,,unlabeled
CORO2B,,unlabeled
CORO6,,unlabeled
CORO7,,unlabeled
CORO7-PAM16,,unlabeled
CORT,,unlabeled
COTL1,,unlabeled
COX10,,unlabeled
COX11,,unlabeled
COX14,,unlabeled
COX15,,unlabeled
COX16,,unlabeled
COX17,,unlabeled
COX18,,unlabeled
COX19,,unlabeled
COX20,,unlabeled
COX4I1,,unlabeled
COX4I2,,unlabeled
COX5A,,unlabeled
COX5B,,unlabeled
COX6A1,,unlabeled
COX6A2,,unlabeled
COX6B1,,unlabeled
COX6B2,,unlabeled
COX6C,,unlabeled
COX7A1,,unlabeled
COX7A2,,unlabeled
COX7A2L,,unlabeled
COX7B,,unlabeled
COX7B2,,unlabeled
COX7C,,unlabeled
COX8A,,unlabeled
COX8C,,unlabeled
CP,,unlabeled
CPA1,,unlabeled
CPA2,,unlabeled
CPA3,,unlabeled
CPA4,,unlabeled
CPA5,,unlabeled
CPA6,,unlabeled
CPAMD8,,unlabeled
CPB1,,unlabeled
CPB2,,unlabeled
CPD,,unlabeled
CPE,,unlabeled
CPEB1,,unlabeled
CPEB2,,unlabeled
CPEB3,,unlabeled
CPEB4,,unlabeled
CPED1,,unlabeled
CPLANE1,,unlabeled
CPLANE2,,unlabeled
CPLX1,,unlabeled
CPLX2,,unlabeled
CPLX3,,unlabeled
CPLX4,,unlabeled
CPM,,unlabeled
CPN1,,unlabeled
CPN2,,unlabeled
CPNE1,,unlabeled
CPNE2,,unlabeled
CPNE3,,unlabeled
CPNE4,,unlabeled
CPNE5,,unlabeled
CPNE6,,unlabeled
CPNE7,,unlabeled
CPNE8,,unlabeled
CPNE9,,unlabeled
CPO,,unlabeled
CPOX,,unlabeled
CPPED1,,unlabeled
CPQ,,unlabeled
CPS1,,unlabeled
CPSF1,,unlabeled
CPSF2,,unlabeled
CPSF3,,unlabeled
CPSF4,,unlabeled
CPSF4L,,unlabeled
CPSF6,,unlabeled
CPSF7,,unlabeled
CPT1A,,unlabeled
CPT1B,,unlabeled
CPT1C,,unlabeled
CPT2,,unlabeled
CPTP,,unlabeled
CPVL,,unlabeled
CPXCR1,,unlabeled
CPXM1,,unlabeled
CPXM2,,unlabeled
CPZ,,unlabeled
CR1,,unlabeled
CR1L,,unlabeled
CR2,,unlabeled
CRABP1,,unlabeled
CRABP2,,unlabeled
CRACD,,unlabeled
CRACDL,,unlabeled
CRACR2A,,unlabeled
CRACR2B,,unlabeled
CRADD,,unlabeled
CRAMP1,,unlabeled
CRAT,,unlabeled
CRB1,,unlabeled
CRB2,,unlabeled
CRB3,,unlabeled
CRBN,Approved,P
CRCP,,unlabeled
CRCT1,,unlabeled
CREB1,,unlabeled
CREB3,,unlabeled
CREB3L1,,unlabeled
CREB3L2,,unlabeled
CREB3L3,,unlabeled
CREB3L4,,unlabeled
CREB5,,unlabeled
CREBBP,Phase 2,trial_heldout
CREBL2,,unlabeled
CREBRF,,unlabeled
CREBZF,,unlabeled
CREG1,,unlabeled
CREG2,,unlabeled
CRELD1,,unlabeled
CRELD2,,unlabeled
CREM,,unlabeled
CRH,,unlabeled
CRHBP,,unlabeled
CRHR1,,unlabeled
CRHR2,,unlabeled
CRIM1,,unlabeled
CRIP1,,unlabeled
CRIP2,,unlabeled
CRIP3,,unlabeled
CRIPT,,unlabeled
CRISP1,,unlabeled
CRISP2,,unlabeled
CRISP3,,unlabeled
CRISPLD1,,unlabeled
CRISPLD2,,unlabeled
CRK,,unlabeled
CRKL,,unlabeled
CRLF1,,unlabeled
CRLF2,,unlabeled
CRLF3,,unlabeled
CRLS1,,unlabeled
CRMP1,,unlabeled
CRNKL1,,unlabeled
CRNN,,unlabeled
CROCC,,unlabeled
CROCC2,,unlabeled
CROT,,unlabeled
CRP,,unlabeled
CRPPA,,unlabeled
CRTAC1,,unlabeled
CRTAM,,unlabeled
CRTAP,,unlabeled
CRTC1,,unlabeled
CRTC2,,unlabeled
CRTC3,,unlabeled
CRX,,unlabeled
CRY1,,unlabeled
CRY2,,unlabeled
CRYAA,,unlabeled
CRYAA2,,unlabeled
CRYAB,,unlabeled
CRYBA1,,unlabeled
CRYBA2,,unlabeled
CRYBA4,,unlabeled
CRYBB1,,unlabeled
CRYBB2,,unlabeled
CRYBB3,,unlabeled
CRYBG1,,unlabeled
CRYBG2,,unlabeled
CRYBG3,,unlabeled
CRYGA,,unlabeled
CRYGB,,unlabeled
CRYGC,,unlabeled
CRYGD,,unlabeled
CRYGN,,unlabeled
CRYGS,,unlabeled
CRYL1,,unlabeled
CRYM,,unlabeled
CRYZ,,unlabeled
CRYZL1,,unlabeled
CS,,unlabeled
CSAD,,unlabeled
CSAG1,,unlabeled
CSAG2,,unlabeled
CSAG3,,unlabeled
CSDC2,,unlabeled
CSDE1,,unlabeled
CSE1L,,unlabeled
CSF1,Phase 2,trial_heldout
CSF1R,Approved,P
CSF2,Phase 3,trial_heldout
CSF2RA,Approved,P
CSF2RB,Approved,P
CSF3,,unlabeled
CSF3R,Approved,P
CSGALNACT1,,unlabeled
CSGALNACT2,,unlabeled
CSH1,,unlabeled
CSH2,,unlabeled
CSHL1,,unlabeled
CSK,,unlabeled
CSKMT,,unlabeled
CSMD1,,unlabeled
CSMD2,,unlabeled
CSMD3,,unlabeled
CSN1S1,,unlabeled
CSN2,,unlabeled
CSN3,,unlabeled
CSNK1A1,,unlabeled
CSNK1A1L,,unlabeled
CSNK1D,,unlabeled
CSNK1E,Approved,P
CSNK1G1,,unlabeled
CSNK1G2,,unlabeled
CSNK1G3,,unlabeled
CSNK2A1,Phase 1,trial_heldout
CSNK2A2,,unlabeled
CSNK2A3,,unlabeled
CSNK2B,,unlabeled
CSNK2A2IP,,unlabeled
CSPG4,,unlabeled
CSPG5,,unlabeled
CSPP1,,unlabeled
CSRNP1,,unlabeled
CSRNP2,,unlabeled
CSRNP3,,unlabeled
CSRP1,,unlabeled
CSRP2,,unlabeled
CSRP3,,unlabeled
CST1,,unlabeled
CST11,,unlabeled
CST2,,unlabeled
CST3,,unlabeled
CST4,,unlabeled
CST5,,unlabeled
CST6,,unlabeled
CST7,,unlabeled
CST8,,unlabeled
CST9,,unlabeled
CST9L,,unlabeled
CSTA,,unlabeled
CSTB,,unlabeled
CSTF1,,unlabeled
CSTF2,,unlabeled
CSTF2T,,unlabeled
CSTF3,,unlabeled
CSTL1,,unlabeled
CT45A1,,unlabeled
CT45A10,,unlabeled
CT45A3,,unlabeled
CT45A9,,unlabeled
CT47A6,,unlabeled
CT47B1,,unlabeled
CT55,,unlabeled
CT83,,unlabeled
CTAG2,,unlabeled
CTAGE1,,unlabeled
CTAGE15,,unlabeled
CTAGE4,,unlabeled
CTAGE6,,unlabeled
CTAGE8,,unlabeled
CTAGE9,,unlabeled
CTBP1,,unlabeled
CTBP2,,unlabeled
CTBS,,unlabeled
CTC1,,unlabeled
CTCF,,unlabeled
CTCFL,,unlabeled
CTDNEP1,,unlabeled
CTDP1,,unlabeled
CTDSP1,,unlabeled
CTDSP2,,unlabeled
CTDSPL,,unlabeled
CTDSPL2,,unlabeled
CTF1,,unlabeled
CTH,,unlabeled
CTHRC1,,unlabeled
CTIF,,unlabeled
CTLA4,Phase 2,trial_heldout
CTNNA1,,unlabeled
CTNNA2,,unlabeled
CTNNA3,,unlabeled
CTNNAL1,,unlabeled
CTNNB1,Phase 2,trial_heldout
CTNNBIP1,,unlabeled
CTNNBL1,,unlabeled
CTNND1,,unlabeled
CTNND2,,unlabeled
CTNS,,unlabeled
CTPS1,,unlabeled
CTPS2,,unlabeled
CTR9,,unlabeled
CTRB1,,unlabeled
CTRB2,,unlabeled
CTRC,,unlabeled
CTRL,,unlabeled
CTSA,,unlabeled
CTSB,,unlabeled
CTSC,,unlabeled
CTSD,,unlabeled
CTSE,,unlabeled
CTSF,,unlabeled
CTSG,,unlabeled
CTSH,,unlabeled
CTSK,,unlabeled
CTSL,,unlabeled
CTSO,,unlabeled
CTSS,Phase 2,trial_heldout
CTSV,,unlabeled
CTSW,,unlabeled
CTSZ,,unlabeled
CTTN,,unlabeled
CTTNBP2,,unlabeled
CTTNBP2NL,,unlabeled
CTU1,,unlabeled
CTU2,,unlabeled
CTXN1,,unlabeled
CTXN2,,unlabeled
CTXN3,,unlabeled
CUBN,,unlabeled
CUEDC1,,unlabeled
CUEDC2,,unlabeled
CUL1,,unlabeled
CUL2,,unlabeled
CUL3,,unlabeled
CUL4A,Approved,P
CUL4B,,unlabeled
CUL5,,unlabeled
CUL7,,unlabeled
CUL9,,unlabeled
CUTA,,unlabeled
CUTC,,unlabeled
CUX1,,unlabeled
CUX2,,unlabeled
CUZD1,,unlabeled
CWC15,,unlabeled
CWC22,,unlabeled
CWC25,,unlabeled
CWC27,,unlabeled
CWF19L1,,unlabeled
CWF19L2,,unlabeled
CWH43,,unlabeled
CX3CL1,Phase 2,trial_heldout
CX3CR1,,unlabeled
CXADR,,unlabeled
CXCL1,,unlabeled
CXCL10,Phase 2,trial_heldout
CXCL11,,unlabeled
CXCL12,Phase 2,trial_heldout
CXCL13,,unlabeled
CXCL14,,unlabeled
CXCL16,,unlabeled
CXCL17,,unlabeled
CXCL2,,unlabeled
CXCL3,,unlabeled
CXCL5,,unlabeled
CXCL6,,unlabeled
CXCL8,,unlabeled
CXCL9,,unlabeled
CXCR1,Phase 3,trial_heldout
CXCR2,Phase 3,trial_heldout
CXCR3,,unlabeled
CXCR4,Approved,P
CXCR5,,unlabeled
CXCR6,,unlabeled
CXXC1,,unlabeled
CXXC4,,unlabeled
CXXC5,,unlabeled
CXorf38,,unlabeled
CXorf58,,unlabeled
CXorf65,,unlabeled
CXorf66,,unlabeled
CYB561,,unlabeled
CYB561A3,,unlabeled
CYB561D1,,unlabeled
CYB561D2,,unlabeled
CYB5A,,unlabeled
CYB5B,,unlabeled
CYB5D1,,unlabeled
CYB5D2,,unlabeled
CYB5R1,,unlabeled
CYB5R2,,unlabeled
CYB5R3,,unlabeled
CYB5R4,,unlabeled
CYB5RL,,unlabeled
CYBA,,unlabeled
CYBB,,unlabeled
CYBC1,,unlabeled
