gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	gene_burden_score									
BPIFA2	ENSG00000131050	chr20	1.13E+00	-4.67E-02	0	0.059934	0									
BPIFA3	ENSG00000131059	chr20	1.45E+00	-2.83E-01	0	0	0									
BPIFB1	ENSG00000125999	chr20	8.21E-01	1.07E+00	0	0.032097	0									
BPIFB2	ENSG00000078898	chr20	1.02E+00	2.09E-01	0	0	0									
BPIFB3	ENSG00000186190	chr20	1.17E+00	-6.22E-01	0	0.035889	0									
BPIFB4	ENSG00000186191	chr20	1.11E+00	4.48E-02	0	0	0									
BPIFB6	ENSG00000167104	chr20	1.10E+00	-6.98E-01	0	0	0									
BPIFC	ENSG00000184459	chr22	1.29E+00	3.40E-01	0	0	0									
BPNT1	ENSG00000162813	chr1	1.04E+00	1.32E+00	0	0.416122	0									
BPNT2	ENSG00000104331	chr8	6.21E-01	2.82E-01	0	0.445808	0									
BPTF	ENSG00000171634	chr17	9.13E-02	5.57E+00	0	0	0									
BPY2C	ENSG00000185894	chrY	NA	NA	0	0	0									
BRAF	ENSG00000157764	chr7	2.32E-01	5.52E+00	0	0	0									
BRAP	ENSG00000089234	chr12	7.41E-01	2.46E+00	0	0.208433	0									
BRAT1	ENSG00000106009	chr7	1.27E+00	-1.35E+00	0	0	0									
BRCA1	ENSG00000012048	chr17	9.28E-01	1.73E+00	1	0	0.819979									
BRCA2	ENSG00000139618	chr13	8.24E-01	-3.38E-02	1	0	0.96416									
BRCC3	ENSG00000185515	chrX	8.24E-01	3.32E+00	0	0	0									
BRD1	ENSG00000100425	chr22	3.13E-01	3.79E+00	0	0.276114	0									
BRD2	ENSG00000204256	chr6	2.92E-01	-8.36E-01	0	0	0									
BRD3	ENSG00000169925	chr9	3.82E-01	3.35E+00	0	0	0									
BRD4	ENSG00000141867	chr19	1.71E-01	3.88E+00	0	0	0									
BRD7	ENSG00000166164	chr16	2.81E-01	2.17E+00	0	0.68053	0									
BRD8	ENSG00000112983	chr5	5.74E-01	4.40E+00	0	0	0									
BRD9	ENSG00000028310	chr5	8.73E-01	1.22E+00	0	0	0									
BRDT	ENSG00000137948	chr1	8.17E-01	1.01E+00	0	0.404869	0									
BRF1	ENSG00000185024	chr14	8.97E-01	-1.58E+00	0	0.0314	0									
BRF2	ENSG00000104221	chr8	9.59E-01	4.05E-01	0	0	0									
BRI3	ENSG00000164713	chr7	9.28E-01	1.21E+00	0	0	0									
BRI3BP	ENSG00000184992	chr12	8.34E-01	4.46E-01	0	0	0									
BRICD5	ENSG00000182685	chr16	2.27E+00	-3.55E+00	0	0	0									
BRINP1	ENSG00000078725	chr9	3.50E-01	2.04E+00	0	0.418715	0									
BRINP2	ENSG00000198797	chr1	4.37E-01	1.48E+00	0	0.043545	0									
BRINP3	ENSG00000162670	chr1	3.92E-01	-2.53E-01	0	0.529029	0									
BRIP1	ENSG00000136492	chr17	8.78E-01	2.20E+00	1	0.053167	0									
BRIX1	ENSG00000113460	chr5	5.25E-01	2.62E-01	0	0	0									
BRK1	ENSG00000254999	chr3	1.19E+00	1.53E+00	0	0	0									
BRME1	ENSG00000132016	chr19	7.95E-01	8.19E-01	0	0	0									
BRMS1	ENSG00000174744	chr11	8.93E-01	4.95E-01	0	0	0									
BRMS1L	ENSG00000100916	chr14	6.48E-01	2.17E+00	0	0.031848	0									
BROX	ENSG00000162819	chr1	1.09E+00	-3.34E-01	0	0.043184	0									
BRPF1	ENSG00000156983	chr3	2.01E-01	5.48E+00	0	0.189731	0									
BRPF3	ENSG00000096070	chr6	2.62E-01	4.53E+00	0	0.11199	0									
BRS3	ENSG00000102239	chrX	5.60E-01	2.01E+00	0	0.067864	0									
BRSK1	ENSG00000160469	chr19	2.96E-01	4.60E+00	0	0	0									
BRSK2	ENSG00000174672	chr11	3.35E-01	3.23E+00	0	0	0									
BRWD1	ENSG00000185658	chr21	3.92E-01	3.92E+00	0	0.361353	0									
BRWD3	ENSG00000165288	chrX	1.13E-01	4.99E+00	0	0	0									
BSCL2	ENSG00000168000	chr11	9.26E-01	8.40E-01	0	0	0									
BSDC1	ENSG00000160058	chr1	7.06E-01	1.30E+00	0	0	0									
BSG	ENSG00000172270	chr19	1.13E+00	-8.12E-01	0	0.037824	0									
BSN	ENSG00000164061	chr3	2.68E-01	3.64E+00	0	0.269503	0									
BSND	ENSG00000162399	chr1	1.10E+00	7.88E-01	0	0	0									
BSPH1	ENSG00000188334	chr19	1.35E+00	4.52E-01	0	0	0									
BSPRY	ENSG00000119411	chr9	1.16E+00	1.88E-01	0	0	0									
BST1	ENSG00000109743	chr4	1.53E+00	-5.80E-01	0	0	0									
BST2	ENSG00000130303	chr19	9.11E-01	1.28E+00	0	0	0									
BSX	ENSG00000188909	chr11	1.15E+00	4.78E-01	0	0	0									
BTAF1	ENSG00000095564	chr10	2.19E-01	5.51E+00	0	0	0									
BTBD1	ENSG00000064726	chr15	9.42E-01	1.41E+00	0	0	0									
BTBD10	ENSG00000148925	chr11	5.68E-01	4.10E+00	0	0	0									
ABTB3	ENSG00000151136	chr12	4.22E-01	1.94E+00	0	0.517258	0									
BTBD16	ENSG00000138152	chr10	1.20E+00	-3.10E-01	0	0.187748	0									
BTBD17	ENSG00000204347	chr17	9.76E-01	9.94E-01	0	0	0									
BTBD18	ENSG00000233436	chr11	NA	8.70E-01	0	0	0									
BTBD19	ENSG00000222009	chr1	8.05E-01	1.40E+00	0	0	0									
BTBD2	ENSG00000133243	chr19	5.25E-01	1.39E+00	0	0	0									
BTBD3	ENSG00000132640	chr20	5.26E-01	3.81E+00	0	0.604769	0									
BTBD6	ENSG00000184887	chr14	1.00E+00	-5.55E-02	0	0	0									
BTBD7	ENSG00000011114	chr14	4.99E-01	2.57E+00	0	0	0									
BTBD8	ENSG00000189195	chr1	7.91E-01	1.68E+00	0	0.035671	0									
BTBD9	ENSG00000183826	chr6	9.67E-01	2.53E+00	0	0.041539	0									
BTC	ENSG00000174808	chr4	1.14E+00	-6.49E-01	0	0	0									
BTD	ENSG00000169814	chr3	1.17E+00	-3.95E-01	0	0	0									
BTF3	ENSG00000145741	chr5	8.13E-01	1.09E+00	0	0.039633	0									
BTF3L4	ENSG00000134717	chr1	7.06E-01	2.96E+00	0	0	0									
BTG1	ENSG00000133639	chr12	4.15E-01	1.92E+00	0	0.50033	0									
BTG2	ENSG00000159388	chr1	1.20E+00	2.79E-01	0	0	0									
BTG3	ENSG00000154640	chr21	3.55E-01	2.54E+00	0	0.032481	0									
BTG4	ENSG00000137707	chr11	8.77E-01	1.11E+00	0	0.062139	0									
BTK	ENSG00000010671	chrX	1.83E-01	5.85E+00	1	0	0									
BTLA	ENSG00000186265	chr3	7.30E-01	1.19E+00	0	0	0									
BTN1A1	ENSG00000124557	chr6	1.09E+00	1.63E+00	0	0	0									
BTN2A1	ENSG00000112763	chr6	1.54E+00	3.32E-01	0	0	0.350238									
BTN2A2	ENSG00000124508	chr6	1.14E+00	6.60E-01	0	0	0									
BTN3A1	ENSG00000026950	chr6	7.84E-01	1.59E+00	0	0	0									
BTN3A2	ENSG00000186470	chr6	9.28E-01	3.05E+00	0	0	0									
BTN3A3	ENSG00000111801	chr6	1.18E+00	1.46E+00	0	0	0									
BTNL2	ENSG00000204290	chr6	1.26E+00	2.31E+00	0	0	0									
BTNL3	ENSG00000168903	chr5	7.25E-01	2.35E+00	0	0	0									
BTNL8	ENSG00000113303	chr5	8.71E-01	1.56E+00	0	0	0									
BTNL9	ENSG00000165810	chr5	1.26E+00	-8.58E-01	0	0	0									
BTRC	ENSG00000166167	chr10	6.35E-01	2.34E+00	0	0	0									
BUB1	ENSG00000169679	chr2	7.45E-01	1.50E+00	0	0.101335	0									
BUB1B	ENSG00000156970	chr15	7.47E-01	1.30E+00	0	0	0									
BUB1B-PAK6	ENSG00000259288	chr15	NA	-1.19E+00	0	0	0									
BUB3	ENSG00000154473	chr10	7.87E-01	2.35E+00	0	0	0									
BUD13	ENSG00000137656	chr11	9.59E-01	-4.56E-01	0	0	0									
BUD23	ENSG00000071462	chr7	9.64E-01	4.10E-01	0	0	0									
BUD31	ENSG00000106245	chr7	8.78E-01	1.15E+00	0	0	0									
POPDC1	ENSG00000112276	chr6	9.87E-01	2.55E-01	0	0.034138	0									
BYSL	ENSG00000112578	chr6	6.66E-01	1.00E+00	0	0	0									
BZW1	ENSG00000082153	chr2	1.43E-01	5.50E+00	0	0	0									
BZW2	ENSG00000136261	chr7	6.12E-01	1.79E+00	0	0.048066	0									
C10orf105	ENSG00000214688	chr10	1.00E+01	-5.42E-01	0	0.297151	0									
C10orf120	ENSG00000183559	chr10	2.14E+00	-7.50E-01	0	0.339455	0									
C10orf53	ENSG00000178645	chr10	1.53E+00	3.21E-02	0	0.404099	0									
C10orf62	ENSG00000203942	chr10	NA	7.47E-02	0	0	0									
C10orf67	ENSG00000179133	chr10	2.09E+00	-3.38E+00	0	0	0									
C10orf71	ENSG00000177354	chr10	NA	-6.47E-01	0	0.048468	0									
SPMIP5	ENSG00000165863	chr10	1.09E+00	5.40E-01	0	0	0									
C10orf88	ENSG00000119965	chr10	1.16E+00	4.83E-01	0	0	0									
C10orf90	ENSG00000154493	chr10	1.12E+00	-1.29E+00	0	0.464064	0									
C10orf95	ENSG00000120055	chr10	NA	-1.99E+00	0	0.490768	0									
GPR15LG	ENSG00000188373	chr10	1.87E+00	-2.13E-02	0	0.068741	0									
CFAP68	ENSG00000137720	chr11	1.70E+00	-5.35E-02	0	0	0									
C11orf16	ENSG00000176029	chr11	1.10E+00	-2.41E-01	0	0	0									
C11orf21	ENSG00000110665	chr11	1.84E+00	1.09E-01	0	0.678753	0									
C11orf24	ENSG00000171067	chr11	1.45E+00	4.29E-01	0	0	0									
C11orf42	ENSG00000180878	chr11	1.21E+00	-6.41E-01	0	0	0									
KCNJ5-AS1	ENSG00000174370	chr11	1.27E+00	3.26E-01	0	0	0									
CSTPP1	ENSG00000149179	chr11	1.00E+00	1.31E-01	0	0.526275	0									
C11orf52	ENSG00000149300	chr11	1.34E+00	5.43E-01	0	0	0									
POU2AF2	ENSG00000150750	chr11	1.66E+00	-6.48E-01	0	0.410328	0									
BKGD	ENSG00000182919	chr11	1.11E+00	-8.36E-02	0	0	0									
C11orf58	ENSG00000110696	chr11	4.63E-01	2.06E+00	0	0	0									
C11orf65	ENSG00000166323	chr11	1.41E+00	-6.46E-02	0	0.206127	0									
C11orf68	ENSG00000175573	chr11	1.66E+00	-2.95E-01	0	0	0									
C11orf71	ENSG00000180425	chr11	NA	-3.77E-01	0	0	0									
TOP6BL	ENSG00000173715	chr11	1.06E+00	-4.11E-02	0	0	0									
C11orf86	ENSG00000173237	chr11	1.86E+00	8.93E-02	0	0	0									
C11orf87	ENSG00000185742	chr11	8.43E-01	3.80E-01	0	0.551863	0									
C11orf91	ENSG00000205177	chr11	1.18E+00	8.59E-01	0	0.487068	0									
FREY1	ENSG00000234776	chr11	1.55E+00	-9.62E-01	0	0	0									
C11orf96	ENSG00000187479	chr11	1.55E+00	5.70E-01	0	0	0									
C11orf97	ENSG00000257057	chr11	1.43E+00	-3.31E-01	0	0.589059	0									
C11orf98	ENSG00000278615	chr11	1.21E+00	-9.40E-01	0	0	0									
RLIG1	ENSG00000133641	chr12	1.17E+00	1.95E-01	0	0	0									
FERRY3	ENSG00000047621	chr12	7.54E-01	1.76E+00	0	0	0									
REDIC1	ENSG00000180116	chr12	1.17E+00	-1.22E+00	0	0	0									
C12orf42	ENSG00000179088	chr12	1.62E+00	-4.71E-01	0	0.745669	0									
C12orf43	ENSG00000157895	chr12	1.12E+00	2.40E-01	0	0	0									
ZC3H11D	ENSG00000165805	chr12	7.53E-01	2.61E-01	0	0	0									
C12orf54	ENSG00000177627	chr12	1.28E+00	-1.08E-01	0	0	0									
C12orf56	ENSG00000185306	chr12	1.24E+00	1.01E-01	0	0	0									
C12orf57	ENSG00000111678	chr12	1.94E+00	-1.84E+00	0	0	0									
C12orf60	ENSG00000182993	chr12	NA	-1.92E-02	0	0	0									
C12orf71	ENSG00000214700	chr12	1.45E+00	7.76E-01	0	0	0									
UQCC6	ENSG00000204954	chr12	1.87E+00	-5.67E-01	0	0	0									
C12orf75	ENSG00000235162	chr12	8.03E-01	-4.11E-01	0	0.521683	0									
C12orf76	ENSG00000174456	chr12	1.73E+00	-3.45E-02	0	0	0									
C14orf119	ENSG00000179933	chr14	1.88E+00	1.28E-01	0	0	0									
C14orf132	ENSG00000227051	chr14	2.04E+00	-3.66E-01	0	0.155147	0									
C14orf180	ENSG00000184601	chr14	1.49E+00	-1.69E-01	0	0.344467	0									
DORIP1	ENSG00000179476	chr14	1.43E+00	-5.26E-02	0	0	0									
C14orf39	ENSG00000179008	chr14	9.47E-01	-1.18E+00	0	0	0									
C14orf93	ENSG00000100802	chr14	7.41E-01	1.64E+00	0	0	0									
PRMT2IP	ENSG00000167173	chr15	6.26E-01	8.93E-01	0	0.240337	0									
C15orf40	ENSG00000169609	chr15	1.13E+00	-1.13E+00	0	0.034587	0									
COXFA4L3	ENSG00000166920	chr15	1.76E+00	8.15E-01	0	0	0									
C15orf61	ENSG00000189227	chr15	1.42E+00	-1.02E+00	0	0	0									
C15orf62	ENSG00000188277	chr15	1.38E+00	7.08E-01	0	0	0									
PIERCE2	ENSG00000261652	chr15	2.25E+00	9.01E-02	0	0	0									
C16orf46	ENSG00000166455	chr16	2.40E+00	-2.70E+00	0	0	0									
C16orf54	ENSG00000185905	chr16	1.63E+00	1.28E+00	0	0	0									
HAPSTR1	ENSG00000182831	chr16	3.89E-01	1.66E+00	0	0	0									
CLMB	ENSG00000154102	chr16	2.61E+00	-1.45E+00	0	0.429387	0									
C16orf78	ENSG00000166152	chr16	1.02E+00	-4.66E-02	0	0.095297	0									
C16orf82	ENSG00000234186	chr16	NA	8.93E-01	0	0	0									
C16orf86	ENSG00000159761	chr16	1.30E+00	5.19E-01	0	0	0									
HDIP1	ENSG00000155330	chr16	9.84E-01	2.14E+00	0	0	0									
C16orf89	ENSG00000153446	chr16	1.71E+00	-2.61E+00	0	0.101981	0									
C16orf90	ENSG00000215131	chr16	1.49E+00	-5.41E-01	0	0	0									
UQCC4	ENSG00000174109	chr16	3.15E+00	-8.67E-01	0	0	0									
FIMP1	ENSG00000167194	chr16	1.60E+00	8.32E-01	0	0	0									
C16orf95	ENSG00000260456	chr16	1.66E+00	-1.73E+00	0	0.218769	0									
C16orf96	ENSG00000205832	chr16	1.22E+00	-1.36E+00	0	0	0									
C17orf100	ENSG00000256806	chr17	7.13E+00	1.14E-01	0	0	0									
C17orf107	ENSG00000205710	chr17	1.77E+00	-8.64E-01	0	0	0									
C17orf113	ENSG00000267221	chr17	9.09E-01	1.87E+00	0	0	0									
BACC1	ENSG00000258315	chr17	1.25E+00	7.72E-01	0	0	0									
PGBDF	ENSG00000270806	chr17	1.37E+00	-8.32E-01	0	0	0									
C17orf58	ENSG00000186665	chr17	1.42E+00	3.95E-01	0	0	0									
CHCT1	ENSG00000141371	chr17	1.67E+00	3.11E-01	0	0	0									
C17orf67	ENSG00000214226	chr17	1.73E+00	-6.15E-02	0	0.042114	0									
C17orf75	ENSG00000108666	chr17	8.67E-01	8.98E-01	0	0	0									
C17orf78	ENSG00000278505	chr17	1.17E+00	1.37E+00	0	0	0									
MTNAP1	ENSG00000141219	chr17	8.78E-01	-9.54E-01	0	0	0									
LIAT1	ENSG00000187624	chr17	3.32E+00	1.71E+00	0	0	0									
SPMAP1	ENSG00000275489	chr17	1.73E+00	1.36E-01	0	0	0									
C17orf99	ENSG00000187997	chr17	1.18E+00	3.38E-01	0	0	0									
RMP24	ENSG00000141428	chr18	1.31E+00	-2.24E-01	0	0.344266	0									
ARK2N	ENSG00000152242	chr18	7.02E-01	1.15E+00	0	0	0									
C18orf32	ENSG00000177576	chr18	1.42E+00	1.94E-01	0	0	0									
C18orf54	ENSG00000166845	chr18	1.26E+00	-1.14E+00	0	0.432319	0									
C18orf63	ENSG00000206043	chr18	8.40E-01	1.03E+00	0	0	0									
C19orf12	ENSG00000131943	chr19	1.66E+00	1.02E+00	0	0	0									
C19orf18	ENSG00000177025	chr19	1.30E+00	2.80E-01	0	0	0									
C19orf25	ENSG00000119559	chr19	1.54E+00	-1.20E+00	0	0	0									
C19orf33	ENSG00000167644	chr19	1.61E+00	-2.59E-01	0	0	0									
C19orf38	ENSG00000214212	chr19	8.24E-01	9.49E-01	0	0.179473	0									
C19orf44	ENSG00000105072	chr19	1.09E+00	1.68E+00	0	0	0									
C19orf47	ENSG00000160392	chr19	8.27E-01	8.80E-01	0	0.267236	0									
C19orf53	ENSG00000104979	chr19	2.40E+00	-1.36E+00	0	0	0									
ACTMAP	ENSG00000188493	chr19	1.21E+00	-2.88E-01	0	0.253152	0									
C19orf67	ENSG00000188032	chr19	9.27E-01	9.07E-01	0	0	0									
TEKTIP1	ENSG00000183397	chr19	1.80E+00	-3.41E+00	0	0.068493	0									
C19orf73	ENSG00000221916	chr19	NA	-1.07E+00	0	0	0									
C19orf81	ENSG00000235034	chr19	1.26E+00	-1.60E-01	0	0	0									
C19orf84	ENSG00000262874	chr19	1.19E+00	6.19E-01	0	0.176671	0									
C1D	ENSG00000197223	chr2	9.67E-01	8.11E-01	0	0.453157	0									
C1GALT1	ENSG00000106392	chr7	5.88E-01	2.55E-02	0	0.52276	0									
C1GALT1C1	ENSG00000171155	chrX	NA	1.63E+00	0	0.098272	0									
C1GALT1C1L	ENSG00000223658	chr2	1.00E+01	-1.51E+00	0	0.043779	0									
C1QA	ENSG00000173372	chr1	1.12E+00	1.26E+00	1	0	0									
C1QB	ENSG00000173369	chr1	1.36E+00	1.07E+00	1	0	0									
C1QBP	ENSG00000108561	chr17	1.15E+00	4.25E-01	0	0	0									
C1QC	ENSG00000159189	chr1	1.55E+00	6.57E-01	1	0	0									
C1QL1	ENSG00000131094	chr17	1.62E+00	7.49E-01	0	0	0									
C1QL2	ENSG00000144119	chr2	1.25E+00	2.87E-01	0	0.473297	0									
C1QL3	ENSG00000165985	chr10	5.52E-01	2.16E+00	0	0	0									
C1QL4	ENSG00000186897	chr12	7.83E-01	-1.20E-01	0	0	0									
C1QTNF1	ENSG00000173918	chr17	1.13E+00	1.57E-01	0	0	0									
C1QTNF12	ENSG00000184163	chr1	1.49E+00	-1.50E+00	0	0.190712	0									
C1QTNF2	ENSG00000145861	chr5	1.33E+00	2.43E-01	0	0.064725	0									
C1QTNF3	ENSG00000082196	chr5	1.11E+00	7.73E-01	0	0	0									
C1QTNF3-AMACR	ENSG00000273294	chr5	NA	9.18E-01	0	0	0									
C1QTNF4	ENSG00000172247	chr11	1.33E+00	-1.10E+00	0	0	0									
C1QTNF5	ENSG00000223953	chr11	9.66E-01	1.35E+00	0	0	0									
C1QTNF6	ENSG00000133466	chr22	1.23E+00	1.31E+00	0	0.889927	0									
C1QTNF7	ENSG00000163145	chr4	1.18E+00	8.02E-01	0	0	0									
C1QTNF8	ENSG00000184471	chr16	1.94E+00	-2.42E+00	0	0.370688	0									
C1QTNF9	ENSG00000240654	chr13	1.17E+00	4.54E+00	0	0.097374	0									
C1QTNF9B	ENSG00000205863	chr13	1.55E+00	4.58E+00	0	0	0									
C1R	ENSG00000159403	chr12	8.35E-01	6.01E-01	1	0	0									
C1RL	ENSG00000139178	chr12	1.33E+00	1.04E+00	0	0	0									
C1S	ENSG00000182326	chr12	7.75E-01	1.82E+00	1	0	0									
SPMIP3	ENSG00000173728	chr1	1.52E+00	4.36E-01	0	0	0									
C1orf105	ENSG00000180999	chr1	1.23E+00	-1.60E-01	0	0.070756	0									
AIRIM	ENSG00000116922	chr1	1.02E+00	3.13E-01	0	0	0									
FIRRM	ENSG00000000460	chr1	8.49E-01	1.38E+00	0	0	0									
C1orf115	ENSG00000162817	chr1	1.75E+00	-4.65E-01	0	0.088133	0									
C1orf116	ENSG00000182795	chr1	1.38E+00	-7.81E-01	0	0.065726	0									
C1orf122	ENSG00000197982	chr1	1.51E+00	6.07E-01	0	0.16413	0									
CIROZ	ENSG00000175262	chr1	9.10E-01	8.07E-01	0	0	0									
FSAF1	ENSG00000143633	chr1	1.12E+00	6.12E-01	0	0	0									
C1orf141	ENSG00000203963	chr1	1.20E+00	-2.78E-01	0	0.742971	0									
C1orf146	ENSG00000203910	chr1	1.36E+00	2.32E-01	0	0	0									
CFAP107	ENSG00000157330	chr1	1.37E+00	1.20E-01	0	0	0									
C1orf159	ENSG00000131591	chr1	1.09E+00	4.17E-01	0	0	0									
C1orf162	ENSG00000143110	chr1	1.48E+00	3.31E-01	0	0	0									
C1orf167	ENSG00000215910	chr1	9.92E-01	3.28E+00	0	0.144142	0									
C1orf174	ENSG00000198912	chr1	1.12E+00	-2.47E-02	0	0.383894	0									
C1orf185	ENSG00000204006	chr1	1.28E+00	1.49E-01	0	0.289837	0									
CFAP141	ENSG00000163263	chr1	1.43E+00	3.12E-01	0	0	0									
CFAP276	ENSG00000179902	chr1	1.57E+00	4.87E-01	0	0	0									
C1orf198	ENSG00000119280	chr1	8.12E-01	9.90E-01	0	0	0									
C1orf21	ENSG00000116667	chr1	4.15E-01	1.41E+00	0	0.52276	0									
C1orf210	ENSG00000253313	chr1	2.08E+00	1.66E-01	0	0	0									
C1orf216	ENSG00000142686	chr1	1.63E+00	6.58E-01	0	0	0									
C1orf226	ENSG00000239887	chr1	8.71E-01	5.39E-01	0	0.121053	0									
C1orf232	ENSG00000282872	chr1	1.40E+00	4.47E-01	0	0	0									
C1orf35	ENSG00000143793	chr1	1.54E+00	-8.39E-01	0	0	0									
LTAP1	ENSG00000143612	chr1	8.83E-01	4.82E-01	0	0	0									
C1orf50	ENSG00000164008	chr1	1.35E+00	-5.82E-01	0	0	0									
C1orf52	ENSG00000162642	chr1	6.13E-01	-3.04E-01	0	0.466669	0									
C1orf53	ENSG00000203724	chr1	1.86E+00	-1.89E+00	0	0.041386	0									
C1orf54	ENSG00000118292	chr1	1.32E+00	-2.59E-02	0	0.477309	0									
C1orf56	ENSG00000143443	chr1	1.06E+00	5.49E-01	0	0	0									
KPLCE	ENSG00000198854	chr1	3.81E+00	-2.90E-01	0	0.063066	0									
C1orf74	ENSG00000162757	chr1	1.44E+00	5.60E-01	0	0	0									
C1orf87	ENSG00000162598	chr1	1.19E+00	-5.80E-01	0	0.400789	0									
C1orf94	ENSG00000142698	chr1	1.08E+00	-3.62E-01	0	0	0									
C2	ENSG00000166278	chr6	9.25E-01	2.07E+00	1	0	0.521675									
C20orf141	ENSG00000258713	chr20	1.85E+00	-5.06E-01	0	0	0									
C20orf144	ENSG00000149609	chr20	3.80E+00	-1.84E+00	0	0	0									
C20orf173	ENSG00000125975	chr20	1.18E+00	1.09E+00	0	0.045304	0									
C20orf202	ENSG00000215595	chr20	1.98E+00	-4.43E-01	0	0	0									
C20orf203	ENSG00000198547	chr20	1.53E+00	-4.20E-01	0	0	0									
C20orf204	ENSG00000196421	chr20	3.31E+00	-3.48E+00	0	0.089381	0									
ADISSP	ENSG00000101220	chr20	1.06E+00	1.40E+00	0	0.658642	0									
CIMIP1	ENSG00000124237	chr20	1.35E+00	-3.69E-01	0	0	0									
C20orf96	ENSG00000196476	chr20	1.35E+00	-6.97E-01	0	0	0									
C21orf58	ENSG00000160298	chr21	1.26E+00	-5.38E-01	0	0	0									
EPCIP	ENSG00000205929	chr21	1.77E+00	1.27E+00	0	0	0									
C21orf91	ENSG00000154642	chr21	1.10E+00	7.23E-01	0	0.396262	0									
C22orf15	ENSG00000169314	chr22	1.49E+00	6.50E-01	0	0	0									
C22orf23	ENSG00000128346	chr22	1.37E+00	9.32E-01	0	0	0									
C22orf31	ENSG00000100249	chr22	1.21E+00	1.66E-01	0	0.146125	0									
C22orf39	ENSG00000242259	chr22	1.59E+00	-1.33E+00	0	0	0									
C22orf42	ENSG00000205856	chr22	1.08E+00	1.21E+00	0	0.25323	0									
C2CD2	ENSG00000157617	chr21	7.46E-01	1.63E+00	0	0	0									
C2CD2L	ENSG00000172375	chr11	4.83E-01	1.81E+00	0	0	0									
C2CD3	ENSG00000168014	chr11	7.25E-01	1.89E+00	0	0	0									
C2CD4A	ENSG00000198535	chr15	1.40E+01	-6.38E-01	0	0.174259	0									
C2CD4B	ENSG00000205502	chr15	NA	-1.18E+00	0	0	0									
C2CD4C	ENSG00000183186	chr19	1.88E+00	-7.27E-01	0	0	0									
C2CD4D	ENSG00000225556	chr1	1.90E+01	-1.48E-02	0	0.141782	0									
C2CD5	ENSG00000111731	chr12	9.81E-01	3.19E+00	0	0	0									
CATSPERT	ENSG00000155754	chr2	9.24E-01	3.17E+00	0	0.308075	0									
C2orf15	ENSG00000273045	chr2	1.74E+00	5.59E-01	0	0	0									
SPATA31H1	ENSG00000221843	chr2	2.44E+00	1.02E+00	0	0	0									
C2orf42	ENSG00000115998	chr2	9.60E-01	1.12E+00	0	0	0									
TSLIG2	ENSG00000135974	chr2	8.83E-01	-3.81E-01	0	0.04056	0									
CIMIP5	ENSG00000150873	chr2	2.12E+00	-2.75E-01	0	0.303487	0									
C2orf66	ENSG00000187944	chr2	1.69E+00	2.03E-01	0	0	0									
C2orf68	ENSG00000168887	chr2	1.21E+00	-4.36E-01	0	0	0									
C2orf69	ENSG00000178074	chr2	9.47E-01	1.28E+00	1	0.427352	0									
C2orf72	ENSG00000204128	chr2	1.69E+00	-2.87E-01	0	0	0									
CIMIP6	ENSG00000177994	chr2	1.66E+00	-1.18E+00	0	0	0									
DEMA1	ENSG00000237651	chr2	1.22E+00	4.04E-02	0	0.480339	0									
C2orf76	ENSG00000186132	chr2	1.93E+00	1.92E-02	0	0	0									
C2orf78	ENSG00000187833	chr2	9.08E-01	6.50E-01	0	0	0									
C2orf80	ENSG00000188674	chr2	1.27E+00	3.08E-01	0	0	0									
C2orf81	ENSG00000284308	chr2	1.33E+00	7.32E-01	0	0	0									
AKAP19	ENSG00000187699	chr2	3.08E+00	-2.45E-02	0	0	0									
C3	ENSG00000125730	chr19	5.52E-01	4.46E+00	1	0.414059	0									
C3AR1	ENSG00000171860	chr12	NA	7.99E-02	0	0	0									
CEP15	ENSG00000114405	chr3	1.55E+00	2.58E-01	0	0.192168	0									
C3orf18	ENSG00000088543	chr3	1.38E+00	5.23E-01	0	0	0									
FAM194C	ENSG00000131379	chr3	1.04E+00	8.56E-01	0	0.403946	0									
C3orf22	ENSG00000180697	chr3	1.22E+00	1.28E-01	0	0	0									
MISO1	ENSG00000174928	chr3	1.13E+00	5.99E-01	0	0	0									
C3orf38	ENSG00000179021	chr3	9.43E-01	6.94E-01	0	0	0									
C3orf49	ENSG00000163632	chr3	2.79E+00	-3.97E+00	0	0.060494	0									
C3orf52	ENSG00000114529	chr3	1.27E+00	-1.14E-01	0	0	0									
PRR23E	ENSG00000214324	chr3	NA	-6.39E-01	0	0	0									
C3orf62	ENSG00000188315	chr3	1.12E+00	2.11E-01	0	0.050519	0									
C3orf70	ENSG00000187068	chr3	1.11E+00	-3.44E-01	0	0.482267	0									
C3orf80	ENSG00000180044	chr3	1.07E+00	3.35E-01	0	0.125585	0									
CIMIP7	ENSG00000236980	chr3	1.54E+00	6.72E-01	0	0.036361	0									
C3orf85	ENSG00000241224	chr3	2.86E+00	-7.17E-01	0	0	0									
C4A	ENSG00000244731	chr6	4.26E-01	7.52E+00	1	0	0									
C4B	ENSG00000224389	chr6	2.57E-01	7.96E+00	1	0	0									
C4BPA	ENSG00000123838	chr1	6.56E-01	2.40E+00	0	0.073533	0									
C4BPB	ENSG00000123843	chr1	1.05E+00	5.11E-01	0	0.05198	0									
C4orf17	ENSG00000138813	chr4	1.09E+00	-2.92E-04	0	0	0									
PGCKA1	ENSG00000154274	chr4	1.42E+00	1.14E+00	0	0	0									
